Deadpool & Wolverine,2024,3.0
Deadpool 2,2018,2.0
Deadpool,2016,4.0
Challengers,2024,4.5
The Babysitters,2007,2.5
BlacKkKlansman,2018,4.0
Sex Drive,2008,2.5
Little Fockers,2010,0.5
Meet the Fockers,2004,2.0
Meet the Parents,2000,2.5
The Founder,2016,3.5
American Reunion,2012,2.5
American Pie Presents: Girls' Rules,2020,1.5
A Family Affair,2024,0.0
The Holdovers,2023,4.5
The Iron Claw,2023,4.5
Taken,2008,3.0
Lost in Translation,2003,4.5
Call Me by Your Name,2017,5.0
Bodies Bodies Bodies,2022,1.0
Groundhog Day,1993,2.5
Scent of a Woman,1992,3.5
The Idea of You,2024,1.5
Assassination Nation,2018,1.5
Titanic,1997,4.5
Fun Mom Dinner,2017,1.5
Rough Night,2017,3.0
This Is 40,2012,3.0
Green Book,2018,4.0
The Hangover Part II,2011,2.5
Crossroads,2002,3.5
Easy A,2010,2.5
Jersey Girl,2004,2.0
The Layover,2017,0.5
Baby Reindeer,2024,4.5
Senior Year,2022,2.0
The Zone of Interest,2023,4.0
Bird Box Barcelona,2023,0.5
Road House,2024,2.5
Bottoms,2023,3.5
Dune: Part Two,2024,5.0
Dune,2021,4.5
La La Land,2016,5.0
Bad Teacher,2011,3.0
Dirty Grandpa,2016,3.0
Eternal Sunshine of the Spotless Mind,2004,5.0
How to Lose a Guy in 10 Days,2003,5.0
Poor Things,2023,3.5
Brokeback Mountain,2005,5.0
The After,2023,2.5
Set It Up,2018,1.0
Society of the Snow,2023,4.0
Past Lives,2023,4.0
Mamma Mia!,2008,4.0
One Day,2024,4.0
Anyone But You,2023,3.5
Upgraded,2024,2.5
"Love, Rosie",2014,3.0
Black Box,2020,0.5
Anatomy of a Fall,2023,4.0
Beautiful Boy,2018,5.0
Fall,2022,1.0
Click,2006,2.0
All of Us Strangers,2023,5.0
The Notebook,2004,5.0
The Proposal,2009,3.0
Call Me by Your Name,2017,5.0
Priscilla,2023,5.0
Triangle of Sadness,2022,3.0
Fargo,1996,4.0
Foe,2023,4.0
Pink Floyd: The Wall,1982,5.0
The Next Three Days,2010,1.0
The French Dispatch,2021,3.0
The Shape of Water,2017,1.0
Baby Driver,2017,4.5
The Royal Tenenbaums,2001,5.0
Birdman or (The Unexpected Virtue of Ignorance),2014,5.0
"Three Billboards Outside Ebbing, Missouri",2017,5.0
The Princess Diaries 2: Royal Engagement,2004,1.5
The Princess Diaries,2001,2.5
Bones and All,2022,5.0
Donnie Brasco,1997,4.0
Snatch,2000,3.0
Pretty Woman,1990,3.0
Leave the World Behind,2023,1.0
"Lock, Stock and Two Smoking Barrels",1998,4.0
Casino,1995,5.0
Books of Blood,2020,1.0
Saltburn,2023,4.5
It's a Wonderful Life,1946,5.0
Wonka,2023,3.5
The Night Before,2015,0.5
The Other Zoey,2023,2.0
Priscilla,2023,5.0
Deck the Halls,2006,0.5
Click & Collect,2018,1.0
The Hunger Games: The Ballad of Songbirds & Snakes,2023,2.0
Saltburn,2023,4.5
Love Actually,2003,5.0
The Holiday,2006,3.5
Love Actually,2003,5.0
All Quiet on the Western Front,2022,4.5
The Killer,2023,3.5
Promising Young Woman,2020,4.0
Saltburn,2023,5.0
No Hard Feelings,2023,2.5
A Hard Day's Night,1964,5.0
The Hunger Games: Mockingjay – Part 2,2015,3.0
The Hunger Games: Mockingjay – Part 1,2014,2.5
The Hunger Games: Catching Fire,2013,5.0
The Hunger Games,2012,5.0
The Nanny Diaries,2007,3.5
Final Destination 2,2003,2.0
Final Destination,2000,4.0
The Inbetweeners Movie,2011,4.0
Donnie Darko,2001,5.0
Brightburn,2019,0.5
The Darjeeling Limited,2007,5.0
The Hangover,2009,4.0
Oppenheimer,2023,5.0
The Terminal,2004,4.0
Bridesmaids,2011,1.5
First Daughter,2004,2.5
The Girl Next Door,2004,5.0
Uptown Girls,2003,4.5
My Fault,2023,0.5
Bones and All,2022,5.0
Before Sunrise,1995,4.5
Knight of Cups,2015,4.0
Palo Alto,2013,5.0
Deep Water,2022,0.5
